timestamp,road_id,vehicle_count,average_speed,congestion_level,pm25_concentration,no2_concentration,aqi_label,temperature_c,rainfall_mm,visibility_km,hour,day_type,ai_predicted_speed
2026-05-01 00:00:00,ROAD_001,265,49.0,Low,25.8,18.3,Good,15.8,0.0,8.7,0,Weekday,47.76875396825397
2026-05-01 00:00:00,ROAD_002,263,46.8,Low,24.5,21.4,Good,15.8,0.0,8.7,0,Weekday,46.890500000000046
2026-05-01 00:00:00,ROAD_003,141,55.7,Low,22.6,7.3,Good,15.8,0.0,8.7,0,Weekday,56.34234999999996
2026-05-01 01:00:00,ROAD_001,199,46.8,Low,19.4,11.3,Good,13.4,0.0,8.9,1,Weekday,45.515000000000065
2026-05-01 01:00:00,ROAD_002,258,43.9,Low,26.9,13.3,Good,13.4,0.0,8.9,1,Weekday,45.16300000000002
2026-05-01 01:00:00,ROAD_003,138,57.5,Low,15.5,16.3,Good,13.4,0.0,8.9,1,Weekday,56.97800000000003
2026-05-01 02:00:00,ROAD_001,216,44.6,Low,21.7,25.0,Good,16.9,0.0,8.1,2,Weekday,44.55643333333331
2026-05-01 02:00:00,ROAD_002,199,42.7,Low,28.1,12.1,Good,16.9,0.0,8.1,2,Weekday,44.67299999999997
2026-05-01 02:00:00,ROAD_003,168,50.6,Low,15.9,16.7,Good,16.9,0.0,8.1,2,Weekday,52.04239999999998
2026-05-01 03:00:00,ROAD_001,272,44.8,Low,26.7,18.3,Good,17.4,0.0,9.9,3,Weekday,45.338757142857176
2026-05-01 03:00:00,ROAD_002,143,44.9,Low,19.1,19.2,Good,17.4,0.0,9.9,3,Weekday,45.41559047619048
2026-05-01 03:00:00,ROAD_003,175,51.1,Low,24.5,14.6,Good,17.4,0.0,9.9,3,Weekday,52.81500000000002
2026-05-01 04:00:00,ROAD_001,228,47.1,Low,30.4,21.7,Moderate,19.9,0.0,8.1,4,Weekday,44.78949999999999
2026-05-01 04:00:00,ROAD_002,179,45.3,Low,24.7,20.2,Good,19.9,0.0,8.1,4,Weekday,44.77216666666673
2026-05-01 04:00:00,ROAD_003,151,56.3,Low,16.3,10.5,Good,19.9,0.0,8.1,4,Weekday,55.053638095238114
2026-05-01 05:00:00,ROAD_001,263,44.3,Low,31.7,22.4,Moderate,21.5,0.0,9.3,5,Weekday,43.24839285714289
2026-05-01 05:00:00,ROAD_002,313,44.5,Low,45.9,17.3,Moderate,21.5,0.0,9.3,5,Weekday,42.24006666666667
2026-05-01 05:00:00,ROAD_003,187,55.9,Low,16.3,20.7,Good,21.5,0.0,9.3,5,Weekday,56.5157833333333
